age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,zip-code
ALL,State-gov,445824,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K,97201
ALL,Self-emp-not-inc,52888,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,10,United-States,<=50K,97201
ALL,Self-emp-not-inc,219897,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,97201
ALL,Private,176079,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Self-emp-not-inc,30599,Advanced Degree,14,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,97201
ALL,?,188172,Advanced Degree,16,Widowed,?,Not-in-family,White,Female,0,0,5,United-States,<=50K,97201
ALL,Local-gov,22155,Advanced Degree,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,60,United-States,<=50K,97201
ALL,Private,79787,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,<=50K,97201
ALL,Local-gov,132563,Advanced Degree,15,Divorced,Prof-specialty,Unmarried,Black,Female,0,1726,40,United-States,<=50K,97201
ALL,Private,198163,Advanced Degree,14,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,36440,Advanced Degree,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,>50K,97201
ALL,Local-gov,337064,Advanced Degree,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,178749,Advanced Degree,14,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,192349,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States,<=50K,97201
ALL,Local-gov,173224,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,97201
ALL,Private,179731,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K,97201
ALL,Private,203763,Advanced Degree,16,Divorced,Prof-specialty,Unmarried,White,Female,0,0,80,United-States,<=50K,97201
ALL,Private,167531,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15024,0,50,United-States,>50K,97201
ALL,Self-emp-inc,257216,Advanced Degree,14,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,State-gov,199381,Advanced Degree,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,37,United-States,>50K,97201
ALL,Private,223308,Advanced Degree,14,Separated,Sales,Unmarried,White,Female,0,0,48,United-States,<=50K,97201
ALL,Local-gov,233734,Advanced Degree,14,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,>50K,97201
ALL,State-gov,177083,Advanced Degree,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,<=50K,97201
ALL,Local-gov,187969,Advanced Degree,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,80,United-States,<=50K,97201
ALL,Local-gov,176557,Advanced Degree,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K,97201
ALL,Local-gov,139703,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K,97201
ALL,Private,363677,Advanced Degree,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1977,30,United-States,>50K,97201
ALL,State-gov,26401,Advanced Degree,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K,97201
ALL,Private,333270,Advanced Degree,14,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,0,0,35,Philippines,<=50K,97201
ALL,Private,205109,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,97201
ALL,State-gov,194252,Advanced Degree,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,3103,0,40,United-States,>50K,97201
ALL,Private,189462,Advanced Degree,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,46,United-States,<=50K,97201
ALL,Local-gov,342175,Advanced Degree,14,Divorced,Adm-clerical,Not-in-family,White,Female,2009,0,40,United-States,<=50K,97201
ALL,Private,184112,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,45,United-States,>50K,97201
ALL,Private,75826,Advanced Degree,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,97201
ALL,Local-gov,190889,Advanced Degree,14,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,40,?,<=50K,97201
ALL,Private,180733,Advanced Degree,14,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K,97201
ALL,Self-emp-not-inc,109684,Advanced Degree,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,97201
